"","stream","monthN","rep","ArrheniusC","Temp","lnK"
"194","hendrick",6,3,-0.368446231396639,17.66140791,-4.04479080395058
"195","hendrick",7,3,-0.395860391396639,17.86139583,-4.1003014090578
"196","hendrick",8,3,-0.430190241396637,18.11222222,-4.10516434553954
"197","hendrick",9,3,-0.365739701396642,17.64167857,-4.23782233073618
"198","hendrick",10,3,0.0255390286033617,14.81732738,-4.37362443224643
"199","hendrick",11,3,0.416307628603363,12.05088889,-4.07425138890321
"200","hendrick",12,3,0.516052408603365,11.35324219,-4.93477305086194
"201","hendrick",1,4,0.58306428860336,10.88645349,-4.30151029149105
"202","hendrick",2,4,0.58326385860336,10.8850656,-4.35930646362897
"203","hendrick",3,4,0.168619348603364,13.79818731,-4.19735051869794
"204","hendrick",4,4,-0.0161814913966367,15.11586111,-4.08847174104497
"205","hendrick",5,4,-0.230785291396636,16.66130489,-3.95788120201835
"206","hendrick",6,4,-0.368446231396639,17.66140791,-4.01049452701177
"207","hendrick",7,4,-0.395860391396639,17.86139583,-4.02575322734018
"208","hendrick",8,4,-0.430190241396637,18.11222222,-4.00325376240407
"209","hendrick",9,4,-0.365739701396642,17.64167857,-4.07625410573653
"210","hendrick",10,4,0.0255390286033617,14.81732738,-4.17913098353511
"211","hendrick",11,4,0.416307628603363,12.05088889,-4.06876483104269
"212","hendrick",12,4,0.516052408603365,11.35324219,-4.42399812294234
"213","hendrick",1,5,0.58306428860336,10.88645349,-4.40502680225761
"214","hendrick",2,5,0.58326385860336,10.8850656,-4.41056908237872
"215","hendrick",3,5,0.168619348603364,13.79818731,-4.34483759936566
"216","hendrick",4,5,-0.0161814913966367,15.11586111,-4.04456123426028
"217","hendrick",5,5,-0.230785291396636,16.66130489,-3.98048805195349
"218","hendrick",6,5,-0.368446231396639,17.66140791,-4.1130715222558
"219","hendrick",7,5,-0.395860391396639,17.86139583,-3.89041729877464
"220","hendrick",8,5,-0.430190241396637,18.11222222,-3.92803186616572
"221","hendrick",9,5,-0.365739701396642,17.64167857,-4.23841430586405
"222","hendrick",10,5,0.0255390286033617,14.81732738,-4.259954357646
"223","hendrick",11,5,0.416307628603363,12.05088889,-3.99127375594922
"224","hendrick",12,5,0.516052408603365,11.35324219,-4.49266719861868
"225","lick",1,1,1.03590218860336,7.771801287,-4.64144347905462
"226","lick",3,1,0.348850298603359,12.52464955,-4.72262183905775
"227","lick",5,1,-0.560517481396637,19.06839015,-4.49812459087445
"228","lick",6,1,-0.911351031396642,21.67381466,-4.353579751356
"229","lick",7,1,-1.03118217139664,22.57440374,-4.19270814692616
"230","lick",8,1,-1.15611213139664,23.51918981,-4.20630594910776
"231","lick",9,1,-0.885538121396635,21.48053571,-4.33380569915101
"232","lick",10,1,0.0464935686033598,14.66761905,-4.33343367089955
"233","lick",11,1,0.755717568603359,9.690819444,-4.73235433646938
"234","lick",1,2,1.03590218860336,7.771801287,-4.73331121845712
"235","lick",2,2,1.05546581860336,7.638779762,-4.73072705977724
"236","lick",3,2,0.348850298603359,12.52464955,-4.46391214593409
"237","lick",5,2,-0.560517481396637,19.06839015,-4.76300129696746
"238","lick",6,2,-0.911351031396642,21.67381466,-4.3413595833567
"239","lick",7,2,-1.03118217139664,22.57440374,-4.17237523040533
"240","lick",8,2,-1.15611213139664,23.51918981,-4.08052432319175
"241","lick",9,2,-0.885538121396635,21.48053571,-4.39203826420577
"242","lick",10,2,0.0464935686033598,14.66761905,-4.42097804649202
"243","lick",11,2,0.755717568603359,9.690819444,-4.51400503952269
"244","lick",12,2,0.874854658603361,8.871640523,-4.99760866031489
"245","lick",1,3,1.03590218860336,7.771801287,-4.70598438515518
"246","lick",2,3,1.05546581860336,7.638779762,-4.61473568989665
"247","lick",3,3,0.348850298603359,12.52464955,-4.58683726563323
"248","lick",5,3,-0.560517481396637,19.06839015,-4.31258072449113
"249","lick",6,3,-0.911351031396642,21.67381466,-4.25484597533425
"250","lick",7,3,-1.03118217139664,22.57440374,-3.51551583342642
"251","lick",8,3,-1.15611213139664,23.51918981,-4.04493493281803
"252","lick",9,3,-0.885538121396635,21.48053571,-4.3647818641412
"253","lick",10,3,0.0464935686033598,14.66761905,-4.46045617753105
"254","lick",11,3,0.755717568603359,9.690819444,-4.77575651076363
"255","lick",12,3,0.874854658603361,8.871640523,-4.86608427247215
"256","lick",1,4,1.03590218860336,7.771801287,-4.69586335062923
"257","lick",2,4,1.05546581860336,7.638779762,-4.67480604986464
"258","lick",3,4,0.348850298603359,12.52464955,-4.58760299659892
"259","lick",6,4,-0.911351031396642,21.67381466,-4.54175022770877
"260","lick",7,4,-1.03118217139664,22.57440374,-4.18350986451698
"261","lick",8,4,-1.15611213139664,23.51918981,-4.13873968276076
"262","lick",9,4,-0.885538121396635,21.48053571,-4.34394256725768
"263","lick",10,4,0.0464935686033598,14.66761905,-4.47578107327137
"264","lick",11,4,0.755717568603359,9.690819444,-4.68281437241484
"265","lick",12,4,0.874854658603361,8.871640523,-4.97675400262581
"266","lick",1,5,1.03590218860336,7.771801287,-4.12928992054341
"267","lick",2,5,1.05546581860336,7.638779762,-4.66356601216582
"268","lick",3,5,0.348850298603359,12.52464955,-4.57711007904506
"269","lick",5,5,-0.560517481396637,19.06839015,-4.55130387963671
"270","lick",6,5,-0.911351031396642,21.67381466,-4.27512196783138
"271","lick",7,5,-1.03118217139664,22.57440374,-4.13960803050053
